company,job_title,salary,location,year
WORKDAY INC,Research Scientist,169000,"Arlington, VA",2025
IBM CORPORATION,Senior Data Scientist,143000,"Denver, CO",2024
SERVICENOW INC,Research Scientist,132000,"Santa Clara, CA",2025
APPLE INC,Network Engineer,182000,"Pittsburgh, PA",2026
DELOITTE CONSULTING LLP,Machine Learning Engineer,109000,"New York, NY",2025
UBER TECHNOLOGIES INC,Technical Lead,173000,"Pittsburgh, PA",2024
INFOSYS LIMITED,Senior Product Manager,90000,"Plano, TX",2026
UBER TECHNOLOGIES INC,Software Engineer,149000,"San Jose, CA",2026
AIRBNB INC,Financial Analyst,159000,"San Francisco, CA",2024
VMWARE LLC,Cloud Engineer,117000,"Palo Alto, CA",2026
PINTEREST INC,DevOps Engineer,177000,"San Francisco, CA",2024
META PLATFORMS INC,Software Engineer,147000,"Menlo Park, CA",2025
AMAZON WEB SERVICES INC,QA Engineer,202000,"Schaumburg, IL",2026
PINTEREST INC,Technical Program Manager,184000,"San Francisco, CA",2024
SPLUNK INC,Software Engineer,172000,"San Francisco, CA",2024
DROPOBOX INC,Research Scientist,181000,"Bellevue, WA",2026
INFOSYS LIMITED,AI Engineer,66000,"Plano, TX",2025
CAPITAL ONE SERVICES LLC,Software Engineer,132000,"Philadelphia, PA",2025
INTEL CORPORATION,Senior Data Scientist,137000,"Cupertino, CA",2025
INFOSYS LIMITED,Compliance Analyst,106000,"Plano, TX",2025
TESLA INC,Data Scientist,130000,"Austin, TX",2026
TWITTER INC,Cloud Engineer,126000,"San Francisco, CA",2024
ZOOM VIDEO COMMUNICATIONS,Applied Scientist,122000,"San Jose, CA",2024
MICROSOFT CORPORATION,Cloud Engineer,130000,"Redmond, WA",2024
GOLDMAN SACHS & CO LLC,Compliance Analyst,136000,"New York, NY",2026
GOOGLE LLC,UX Engineer,195000,"Alpharetta, GA",2024
GOOGLE LLC,Senior Product Manager,190000,"Mountain View, CA",2026
AMAZON COM SERVICES LLC,Solutions Architect,175000,"Brooklyn, NY",2024
DATADOG INC,Applied Scientist,184000,"New York, NY",2026
DROPOBOX INC,Product Manager,179000,"San Francisco, CA",2024
IBM CORPORATION,Frontend Engineer,102000,"Armonk, NY",2025
SERVICENOW INC,Senior Data Engineer,154000,"Santa Clara, CA",2025
AIRBNB INC,Business Intelligence Engineer,167000,"San Francisco, CA",2026
GOLDMAN SACHS & CO LLC,Operations Research Analyst,171000,"New York, NY",2026
DELOITTE CONSULTING LLP,Systems Engineer,115000,"Minneapolis, MN",2026
AMAZON COM SERVICES LLC,Senior Engineering Manager,150000,"Brooklyn, NY",2025
SNAP INC,Network Engineer,184000,"Santa Monica, CA",2026
ADOBE INC,Compliance Analyst,194000,"San Jose, CA",2024
ACCENTURE LLP,Site Reliability Engineer,132000,"Chicago, IL",2024
WALMART GLOBAL TECH,Technical Lead,148000,"Bentonville, AR",2026
ZOOM VIDEO COMMUNICATIONS,Business Intelligence Engineer,149000,"Baltimore, MD",2024
ADOBE INC,QA Engineer,126000,"San Jose, CA",2024
SERVICENOW INC,Machine Learning Engineer,147000,"Santa Clara, CA",2026
APPLE INC,Product Manager,200000,"Cupertino, CA",2025
META PLATFORMS INC,Frontend Engineer,167000,"Mountain View, CA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Operations Research Analyst,73000,"Bridgewater, NJ",2024
ADOBE INC,Applied Scientist,193000,"San Jose, CA",2025
TESLA INC,Big Data Engineer,167000,"Atlanta, GA",2025
DELOITTE CONSULTING LLP,Senior Data Engineer,113000,"Salt Lake City, UT",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Senior Software Engineer,87000,"San Diego, CA",2024
SNAP INC,Applied Scientist,140000,"Santa Monica, CA",2024
META PLATFORMS INC,AI Engineer,150000,"Menlo Park, CA",2024
INFOSYS LIMITED,AI Engineer,108000,"Plano, TX",2025
SERVICENOW INC,Big Data Engineer,135000,"Santa Clara, CA",2024
MICROSOFT CORPORATION,Compliance Analyst,165000,"Bridgewater, NJ",2025
IBM CORPORATION,Product Manager,133000,"Jersey City, NJ",2024
STRIPE INC,Technical Program Manager,209000,"South San Francisco, CA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Software Engineer,104000,"Teaneck, NJ",2026
SPLUNK INC,Engineering Manager,146000,"San Francisco, CA",2026
DELOITTE CONSULTING LLP,Machine Learning Engineer,121000,"New York, NY",2026
UBER TECHNOLOGIES INC,Operations Research Analyst,181000,"Philadelphia, PA",2025
ORACLE AMERICA INC,Security Engineer,165000,"Austin, TX",2025
SALESFORCE INC,Technical Lead,157000,"San Francisco, CA",2026
SPLUNK INC,Senior Product Manager,172000,"San Francisco, CA",2024
APPLE INC,Staff Software Engineer,175000,"Cupertino, CA",2024
VMWARE LLC,Backend Engineer,151000,"Reston, VA",2024
ADOBE INC,Software Engineer,144000,"San Jose, CA",2025
INFOSYS LIMITED,Site Reliability Engineer,95000,"Plano, TX",2026
DROPOBOX INC,Site Reliability Engineer,189000,"Cupertino, CA",2026
ORACLE AMERICA INC,Database Administrator,114000,"Houston, TX",2025
ADOBE INC,Senior Product Manager,167000,"San Jose, CA",2025
COGNIZANT TECHNOLOGY SOLUTIONS,Operations Research Analyst,83000,"Teaneck, NJ",2024
NETFLIX INC,Software Engineer,320000,"Kansas City, MO",2025
ORACLE AMERICA INC,Solutions Architect,154000,"Austin, TX",2025
TWITTER INC,Technical Program Manager,177000,"Cambridge, MA",2025
SPLUNK INC,QA Engineer,127000,"San Francisco, CA",2024
INFOSYS LIMITED,Full Stack Engineer,79000,"Plano, TX",2024
ACCENTURE LLP,Operations Research Analyst,90000,"Chicago, IL",2024
PALANTIR TECHNOLOGIES,Backend Engineer,138000,"Denver, CO",2025
DOCUSIGN INC,DevOps Engineer,147000,"San Francisco, CA",2025
DOCUSIGN INC,Operations Research Analyst,133000,"San Francisco, CA",2024
JPMORGAN CHASE & CO,AI Engineer,153000,"New York, NY",2024
UBER TECHNOLOGIES INC,Cloud Engineer,163000,"San Francisco, CA",2025
ZOOM VIDEO COMMUNICATIONS,Software Engineer,141000,"San Jose, CA",2024
TWITTER INC,Staff Software Engineer,161000,"Reston, VA",2026
VMWARE LLC,Product Manager,141000,"Palo Alto, CA",2024
NETFLIX INC,Applied Scientist,296000,"Richmond, VA",2024
DELOITTE CONSULTING LLP,Software Engineer,97000,"New York, NY",2024
DOCUSIGN INC,Data Scientist,156000,"San Francisco, CA",2024
ACCENTURE LLP,Platform Engineer,94000,"Chicago, IL",2024
JPMORGAN CHASE & CO,Machine Learning Engineer,160000,"New York, NY",2025
AMAZON COM SERVICES LLC,Compliance Analyst,169000,"Seattle, WA",2025
DATADOG INC,Staff Software Engineer,164000,"Pittsburgh, PA",2025
DOCUSIGN INC,Senior Software Engineer,175000,"San Francisco, CA",2024
ADOBE INC,Senior Engineering Manager,162000,"Bridgewater, NJ",2026
TATA CONSULTANCY SERVICES,Research Scientist,77000,"Bridgewater, NJ",2025
SALESFORCE INC,Senior Software Engineer,194000,"San Francisco, CA",2026
LINKEDIN CORPORATION,Site Reliability Engineer,192000,"San Diego, CA",2026
LINKEDIN CORPORATION,Big Data Engineer,196000,"Phoenix, AZ",2024
AMAZON WEB SERVICES INC,Data Engineer,150000,"Austin, TX",2026
AMAZON WEB SERVICES INC,Staff Software Engineer,164000,"Seattle, WA",2025
TATA CONSULTANCY SERVICES,Cloud Engineer,86000,"Bridgewater, NJ",2025
WORKDAY INC,Product Manager,149000,"Denver, CO",2024
LINKEDIN CORPORATION,Full Stack Engineer,186000,"Sunnyvale, CA",2026
META PLATFORMS INC,Senior DevOps Engineer,200000,"Mountain View, CA",2026
TESLA INC,Technical Lead,132000,"Bridgewater, NJ",2025
AMAZON WEB SERVICES INC,Technical Program Manager,209000,"Seattle, WA",2026
SPLUNK INC,Operations Research Analyst,125000,"San Francisco, CA",2026
NETFLIX INC,Business Intelligence Engineer,290000,"Minneapolis, MN",2026
GOLDMAN SACHS & CO LLC,SRE,177000,"New York, NY",2024
AIRBNB INC,Full Stack Engineer,152000,"San Francisco, CA",2025
SERVICENOW INC,Senior Data Scientist,138000,"Cambridge, MA",2025
SERVICENOW INC,Machine Learning Engineer,137000,"Dallas, TX",2026
ADOBE INC,UX Engineer,185000,"Alpharetta, GA",2026
VMWARE LLC,Staff Software Engineer,143000,"Palo Alto, CA",2025
APPLE INC,Analytics Engineer,135000,"Cupertino, CA",2025
SNAP INC,Platform Engineer,174000,"Santa Monica, CA",2024
ZOOM VIDEO COMMUNICATIONS,UX Engineer,142000,"San Jose, CA",2025
JPMORGAN CHASE & CO,Technical Program Manager,124000,"New York, NY",2026
SNAP INC,Network Engineer,147000,"Santa Monica, CA",2024
WORKDAY INC,Database Administrator,155000,"Pleasanton, CA",2026
GOLDMAN SACHS & CO LLC,Senior Product Manager,151000,"New York, NY",2025
MICROSOFT CORPORATION,Infrastructure Engineer,137000,"Redmond, WA",2024
SPLUNK INC,Systems Engineer,120000,"San Francisco, CA",2026
WORKDAY INC,UX Engineer,173000,"Pleasanton, CA",2024
GOOGLE LLC,Solutions Architect,160000,"Mountain View, CA",2025
IBM CORPORATION,Analytics Engineer,149000,"Armonk, NY",2024
APPLE INC,Senior Data Engineer,196000,"San Francisco, CA",2024
LINKEDIN CORPORATION,DevOps Engineer,199000,"Sunnyvale, CA",2025
INFOSYS LIMITED,Machine Learning Engineer,92000,"Portland, OR",2025
CAPITAL ONE SERVICES LLC,Data Scientist,135000,"McLean, VA",2025
GOOGLE LLC,Big Data Engineer,201000,"Baltimore, MD",2026
JPMORGAN CHASE & CO,Technical Program Manager,129000,"Brooklyn, NY",2026
TATA CONSULTANCY SERVICES,SRE,84000,"Indianapolis, IN",2024
IBM CORPORATION,Backend Engineer,159000,"Tempe, AZ",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Compliance Analyst,68000,"Teaneck, NJ",2025
AIRBNB INC,Machine Learning Engineer,197000,"San Francisco, CA",2024
STRIPE INC,Senior Data Engineer,189000,"South San Francisco, CA",2026
WORKDAY INC,Senior Data Engineer,146000,"Pleasanton, CA",2025
SALESFORCE INC,Full Stack Engineer,148000,"San Francisco, CA",2026
SERVICENOW INC,Security Engineer,153000,"McLean, VA",2026
TWITTER INC,Database Administrator,149000,"San Francisco, CA",2026
SERVICENOW INC,Product Manager,168000,"Cambridge, MA",2024
TWITTER INC,Senior DevOps Engineer,147000,"Nashville, TN",2024
SNAP INC,Platform Engineer,160000,"Santa Monica, CA",2026
APPLE INC,Full Stack Engineer,158000,"Sunnyvale, CA",2024
NVIDIA CORPORATION,Backend Engineer,167000,"Santa Clara, CA",2025
NETFLIX INC,Compliance Analyst,339000,"Los Gatos, CA",2024
PALANTIR TECHNOLOGIES,Data Engineer,119000,"Denver, CO",2025
NVIDIA CORPORATION,Engineering Manager,206000,"Pittsburgh, PA",2025
AMAZON WEB SERVICES INC,Infrastructure Engineer,137000,"Milwaukee, WI",2024
INFOSYS LIMITED,Backend Engineer,72000,"Baltimore, MD",2025
PINTEREST INC,Systems Engineer,120000,"San Francisco, CA",2026
AMAZON WEB SERVICES INC,Data Engineer,176000,"Seattle, WA",2025
PINTEREST INC,Analytics Engineer,159000,"San Francisco, CA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Senior Software Engineer,107000,"Teaneck, NJ",2026
SNAP INC,Backend Engineer,125000,"Santa Monica, CA",2026
GOOGLE LLC,Senior Data Engineer,198000,"Mountain View, CA",2025
JPMORGAN CHASE & CO,DevOps Engineer,157000,"Schaumburg, IL",2024
SPLUNK INC,Senior Data Engineer,188000,"Phoenix, AZ",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Business Intelligence Engineer,92000,"McLean, VA",2025
ACCENTURE LLP,Backend Engineer,129000,"Sacramento, CA",2024
IBM CORPORATION,Platform Engineer,146000,"Denver, CO",2026
IBM CORPORATION,Data Scientist,129000,"Atlanta, GA",2024
VMWARE LLC,Solutions Architect,183000,"Salt Lake City, UT",2024
AMAZON COM SERVICES LLC,Operations Research Analyst,128000,"Redmond, WA",2026
TATA CONSULTANCY SERVICES,Cloud Engineer,62000,"Philadelphia, PA",2024
APPLE INC,Research Scientist,160000,"Cupertino, CA",2026
DATADOG INC,QA Engineer,189000,"Kansas City, MO",2026
STRIPE INC,Engineering Manager,219000,"South San Francisco, CA",2024
SALESFORCE INC,Site Reliability Engineer,143000,"San Francisco, CA",2025
DROPOBOX INC,Staff Software Engineer,165000,"Charlotte, NC",2025
COGNIZANT TECHNOLOGY SOLUTIONS,Senior Engineering Manager,104000,"Teaneck, NJ",2026
PINTEREST INC,Technical Lead,170000,"Pittsburgh, PA",2024
ORACLE AMERICA INC,Senior Engineering Manager,127000,"Bentonville, AR",2025
GOOGLE LLC,Senior Engineering Manager,197000,"Sacramento, CA",2024
SERVICENOW INC,Solutions Architect,124000,"Santa Clara, CA",2025
SNAP INC,Senior Software Engineer,180000,"Santa Monica, CA",2024
INTEL CORPORATION,Big Data Engineer,160000,"Plano, TX",2026
VMWARE LLC,Senior Product Manager,151000,"Palo Alto, CA",2024
INTEL CORPORATION,Backend Engineer,124000,"San Jose, CA",2025
ZOOM VIDEO COMMUNICATIONS,QA Engineer,154000,"San Jose, CA",2024
INTEL CORPORATION,Site Reliability Engineer,131000,"Santa Clara, CA",2024
STRIPE INC,Product Manager,174000,"Boston, MA",2025
INTEL CORPORATION,SRE,161000,"Santa Clara, CA",2025
SERVICENOW INC,Security Engineer,128000,"Tempe, AZ",2026
CAPITAL ONE SERVICES LLC,Network Engineer,100000,"McLean, VA",2025
DROPOBOX INC,Technical Program Manager,188000,"San Francisco, CA",2024
INTEL CORPORATION,Compliance Analyst,157000,"Plano, TX",2024
INFOSYS LIMITED,Backend Engineer,85000,"Bentonville, AR",2025
STRIPE INC,Software Engineer,199000,"Columbus, OH",2026
INFOSYS LIMITED,Full Stack Engineer,75000,"Chicago, IL",2026
INFOSYS LIMITED,Senior Data Engineer,87000,"Bellevue, WA",2025
PALANTIR TECHNOLOGIES,Analytics Engineer,144000,"Denver, CO",2026
LINKEDIN CORPORATION,Engineering Manager,154000,"Tempe, AZ",2024
GOLDMAN SACHS & CO LLC,Backend Engineer,170000,"Sunnyvale, CA",2024
SPLUNK INC,Software Engineer,190000,"San Francisco, CA",2024
NETFLIX INC,AI Engineer,238000,"Jersey City, NJ",2024
NVIDIA CORPORATION,Senior DevOps Engineer,178000,"Santa Clara, CA",2026
WORKDAY INC,Site Reliability Engineer,163000,"Pleasanton, CA",2026
TATA CONSULTANCY SERVICES,QA Engineer,78000,"Raleigh, NC",2025
PINTEREST INC,Operations Research Analyst,194000,"San Francisco, CA",2026
MICROSOFT CORPORATION,Research Scientist,161000,"San Francisco, CA",2025
TATA CONSULTANCY SERVICES,DevOps Engineer,66000,"Bridgewater, NJ",2026
INFOSYS LIMITED,Network Engineer,109000,"Plano, TX",2026
DELOITTE CONSULTING LLP,Engineering Manager,113000,"New York, NY",2025
ZOOM VIDEO COMMUNICATIONS,Staff Software Engineer,160000,"San Jose, CA",2026
SNAP INC,Systems Engineer,183000,"Santa Monica, CA",2025
COGNIZANT TECHNOLOGY SOLUTIONS,Software Engineer,92000,"Teaneck, NJ",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Solutions Architect,101000,"Teaneck, NJ",2024
AIRBNB INC,QA Engineer,130000,"Indianapolis, IN",2026
ACCENTURE LLP,Systems Engineer,139000,"Chicago, IL",2026
LINKEDIN CORPORATION,Database Administrator,152000,"Sunnyvale, CA",2025
INFOSYS LIMITED,Site Reliability Engineer,96000,"Plano, TX",2026
GOOGLE LLC,Solutions Architect,190000,"Mountain View, CA",2024
MICROSOFT CORPORATION,Financial Analyst,149000,"Redmond, WA",2026
SPLUNK INC,Senior Product Manager,144000,"Bridgewater, NJ",2026
AMAZON WEB SERVICES INC,Software Engineer,155000,"Pittsburgh, PA",2026
LINKEDIN CORPORATION,Staff Software Engineer,173000,"Sunnyvale, CA",2025
DROPOBOX INC,Engineering Manager,165000,"San Francisco, CA",2025
DROPOBOX INC,Cloud Engineer,162000,"Tampa, FL",2026
SQUARE INC,Senior DevOps Engineer,139000,"Phoenix, AZ",2024
COGNIZANT TECHNOLOGY SOLUTIONS,UX Engineer,69000,"Teaneck, NJ",2024
DOCUSIGN INC,Data Engineer,140000,"Dallas, TX",2025
SQUARE INC,Full Stack Engineer,189000,"San Francisco, CA",2024
PALANTIR TECHNOLOGIES,Infrastructure Engineer,172000,"Denver, CO",2026
AMAZON COM SERVICES LLC,Compliance Analyst,190000,"Seattle, WA",2026
VMWARE LLC,Network Engineer,167000,"Palo Alto, CA",2025
SPLUNK INC,Operations Research Analyst,156000,"St. Louis, MO",2024
JPMORGAN CHASE & CO,Senior Data Engineer,149000,"New York, NY",2026
AMAZON COM SERVICES LLC,Network Engineer,193000,"Seattle, WA",2025
GOLDMAN SACHS & CO LLC,Senior Product Manager,178000,"New York, NY",2026
JPMORGAN CHASE & CO,Infrastructure Engineer,157000,"New York, NY",2024
TWITTER INC,Systems Engineer,167000,"Redmond, WA",2024
PINTEREST INC,Analytics Engineer,187000,"San Francisco, CA",2026
JPMORGAN CHASE & CO,Solutions Architect,155000,"Pittsburgh, PA",2024
ORACLE AMERICA INC,Full Stack Engineer,114000,"Austin, TX",2024
GOOGLE LLC,Database Administrator,201000,"Mountain View, CA",2024
AMAZON WEB SERVICES INC,Solutions Architect,146000,"Seattle, WA",2024
DROPOBOX INC,AI Engineer,180000,"San Francisco, CA",2025
PALANTIR TECHNOLOGIES,Data Scientist,146000,"Austin, TX",2024
SPLUNK INC,Full Stack Engineer,191000,"San Francisco, CA",2025
DROPOBOX INC,AI Engineer,184000,"Seattle, WA",2026
PINTEREST INC,Senior Data Scientist,154000,"San Francisco, CA",2026
TESLA INC,DevOps Engineer,150000,"Austin, TX",2025
TATA CONSULTANCY SERVICES,Security Engineer,70000,"Raleigh, NC",2024
TATA CONSULTANCY SERVICES,Engineering Manager,83000,"Bridgewater, NJ",2026
INTEL CORPORATION,Solutions Architect,115000,"Sunnyvale, CA",2026
JPMORGAN CHASE & CO,Machine Learning Engineer,122000,"New York, NY",2025
DOCUSIGN INC,Big Data Engineer,161000,"Bentonville, AR",2024
PALANTIR TECHNOLOGIES,Frontend Engineer,153000,"Denver, CO",2024
SPLUNK INC,Solutions Architect,141000,"San Francisco, CA",2026
STRIPE INC,Solutions Architect,179000,"South San Francisco, CA",2024
APPLE INC,Solutions Architect,192000,"Cupertino, CA",2024
NVIDIA CORPORATION,Senior Engineering Manager,201000,"Santa Clara, CA",2026
WORKDAY INC,Staff Software Engineer,163000,"Charlotte, NC",2026
ADOBE INC,Network Engineer,165000,"San Jose, CA",2025
CAPITAL ONE SERVICES LLC,Big Data Engineer,115000,"McLean, VA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Applied Scientist,99000,"Teaneck, NJ",2025
ORACLE AMERICA INC,QA Engineer,145000,"Jersey City, NJ",2025
INTEL CORPORATION,SRE,160000,"Santa Clara, CA",2026
ORACLE AMERICA INC,Cloud Engineer,130000,"Denver, CO",2025
LINKEDIN CORPORATION,AI Engineer,157000,"Sunnyvale, CA",2026
GOLDMAN SACHS & CO LLC,UX Engineer,135000,"Schaumburg, IL",2026
TWITTER INC,UX Engineer,126000,"Pittsburgh, PA",2025
PALANTIR TECHNOLOGIES,DevOps Engineer,165000,"Denver, CO",2026
AMAZON WEB SERVICES INC,QA Engineer,138000,"Seattle, WA",2025
WORKDAY INC,Applied Scientist,140000,"Pleasanton, CA",2026
SALESFORCE INC,Engineering Manager,159000,"San Francisco, CA",2025
AMAZON WEB SERVICES INC,Compliance Analyst,189000,"Seattle, WA",2025
WALMART GLOBAL TECH,Platform Engineer,138000,"Orlando, FL",2025
CAPITAL ONE SERVICES LLC,Security Engineer,136000,"McLean, VA",2026
DROPOBOX INC,Applied Scientist,159000,"San Francisco, CA",2024
META PLATFORMS INC,Security Engineer,214000,"Brooklyn, NY",2025
PALANTIR TECHNOLOGIES,Network Engineer,183000,"Denver, CO",2026
TESLA INC,Senior Engineering Manager,131000,"Austin, TX",2024
NVIDIA CORPORATION,Data Engineer,231000,"Santa Clara, CA",2026
TESLA INC,Analytics Engineer,132000,"Austin, TX",2024
MICROSOFT CORPORATION,Full Stack Engineer,160000,"Redmond, WA",2024
AIRBNB INC,Research Scientist,141000,"San Francisco, CA",2024
DROPOBOX INC,Applied Scientist,131000,"San Francisco, CA",2026
PINTEREST INC,SRE,191000,"San Francisco, CA",2024
SALESFORCE INC,Senior Product Manager,157000,"Salt Lake City, UT",2026
LINKEDIN CORPORATION,QA Engineer,189000,"Sunnyvale, CA",2024
ACCENTURE LLP,AI Engineer,97000,"Chicago, IL",2024
AMAZON COM SERVICES LLC,Product Manager,154000,"Seattle, WA",2026
TESLA INC,Technical Program Manager,174000,"Austin, TX",2025
ACCENTURE LLP,Software Engineer,111000,"Chicago, IL",2025
COGNIZANT TECHNOLOGY SOLUTIONS,Staff Software Engineer,106000,"Teaneck, NJ",2026
INTEL CORPORATION,Software Engineer,164000,"Santa Clara, CA",2026
TESLA INC,Financial Analyst,106000,"San Jose, CA",2024
WALMART GLOBAL TECH,Database Administrator,112000,"Kansas City, MO",2024
WALMART GLOBAL TECH,Data Scientist,92000,"Bentonville, AR",2024
VMWARE LLC,Full Stack Engineer,155000,"Tampa, FL",2026
ZOOM VIDEO COMMUNICATIONS,Applied Scientist,131000,"San Jose, CA",2025
APPLE INC,Frontend Engineer,170000,"Cupertino, CA",2024
UBER TECHNOLOGIES INC,Full Stack Engineer,153000,"San Francisco, CA",2024
DATADOG INC,Platform Engineer,167000,"Ann Arbor, MI",2024
ZOOM VIDEO COMMUNICATIONS,Financial Analyst,133000,"San Jose, CA",2025
COGNIZANT TECHNOLOGY SOLUTIONS,Security Engineer,82000,"Teaneck, NJ",2026
NETFLIX INC,Compliance Analyst,255000,"Los Gatos, CA",2025
PINTEREST INC,Backend Engineer,156000,"San Francisco, CA",2026
WALMART GLOBAL TECH,Senior Engineering Manager,115000,"Bentonville, AR",2025
INFOSYS LIMITED,Network Engineer,70000,"Plano, TX",2025
INFOSYS LIMITED,Senior Data Scientist,106000,"Plano, TX",2026
CAPITAL ONE SERVICES LLC,Staff Software Engineer,134000,"McLean, VA",2026
ACCENTURE LLP,Operations Research Analyst,90000,"Atlanta, GA",2025
ZOOM VIDEO COMMUNICATIONS,Applied Scientist,163000,"San Jose, CA",2024
SQUARE INC,QA Engineer,142000,"Sacramento, CA",2025
DOCUSIGN INC,Senior Data Scientist,153000,"San Francisco, CA",2026
ACCENTURE LLP,SDET,120000,"Chicago, IL",2024
NVIDIA CORPORATION,Product Manager,214000,"Minneapolis, MN",2024
META PLATFORMS INC,Operations Research Analyst,154000,"Menlo Park, CA",2024
NVIDIA CORPORATION,Platform Engineer,247000,"Reston, VA",2026
ADOBE INC,Infrastructure Engineer,192000,"San Jose, CA",2025
MICROSOFT CORPORATION,Compliance Analyst,156000,"Alpharetta, GA",2026
ORACLE AMERICA INC,Machine Learning Engineer,115000,"Austin, TX",2026
JPMORGAN CHASE & CO,DevOps Engineer,114000,"Schaumburg, IL",2025
INFOSYS LIMITED,Frontend Engineer,98000,"Plano, TX",2025
IBM CORPORATION,Software Engineer,126000,"Armonk, NY",2025
CAPITAL ONE SERVICES LLC,AI Engineer,132000,"Denver, CO",2026
DELOITTE CONSULTING LLP,Frontend Engineer,132000,"New York, NY",2026
INTEL CORPORATION,DevOps Engineer,112000,"Santa Clara, CA",2024
NETFLIX INC,Research Scientist,338000,"San Francisco, CA",2025
AMAZON COM SERVICES LLC,Site Reliability Engineer,198000,"Seattle, WA",2026
DELOITTE CONSULTING LLP,Senior Software Engineer,125000,"New York, NY",2026
PALANTIR TECHNOLOGIES,Cloud Engineer,119000,"Charlotte, NC",2026
SQUARE INC,Financial Analyst,187000,"San Francisco, CA",2025
CAPITAL ONE SERVICES LLC,QA Engineer,150000,"Cambridge, MA",2024
ACCENTURE LLP,Technical Lead,119000,"Chicago, IL",2025
STRIPE INC,Systems Engineer,214000,"South San Francisco, CA",2025
AIRBNB INC,Infrastructure Engineer,159000,"Plano, TX",2024
DATADOG INC,Analytics Engineer,129000,"New York, NY",2025
COGNIZANT TECHNOLOGY SOLUTIONS,SRE,99000,"Kansas City, MO",2026
DATADOG INC,Infrastructure Engineer,165000,"New York, NY",2025
WORKDAY INC,Operations Research Analyst,167000,"Pleasanton, CA",2024
LINKEDIN CORPORATION,Site Reliability Engineer,132000,"Sunnyvale, CA",2025
VMWARE LLC,SDET,117000,"Irvine, CA",2024
META PLATFORMS INC,Systems Engineer,156000,"Menlo Park, CA",2026
CAPITAL ONE SERVICES LLC,Analytics Engineer,116000,"Brooklyn, NY",2024
WALMART GLOBAL TECH,Analytics Engineer,149000,"Charlotte, NC",2024
DROPOBOX INC,Applied Scientist,183000,"San Francisco, CA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Analytics Engineer,69000,"Portland, OR",2026
TWITTER INC,Applied Scientist,178000,"Orlando, FL",2025
AMAZON WEB SERVICES INC,Solutions Architect,141000,"Seattle, WA",2024
VMWARE LLC,Big Data Engineer,118000,"Palo Alto, CA",2026
STRIPE INC,SRE,186000,"Philadelphia, PA",2024
SERVICENOW INC,Infrastructure Engineer,176000,"Atlanta, GA",2024
WALMART GLOBAL TECH,Senior Data Scientist,122000,"Bentonville, AR",2024
CAPITAL ONE SERVICES LLC,Research Scientist,99000,"McLean, VA",2026
NETFLIX INC,Site Reliability Engineer,279000,"Los Gatos, CA",2025
GOOGLE LLC,Research Scientist,141000,"Miami, FL",2024
JPMORGAN CHASE & CO,Data Scientist,156000,"New York, NY",2026
LINKEDIN CORPORATION,Applied Scientist,193000,"Sunnyvale, CA",2026
TATA CONSULTANCY SERVICES,Security Engineer,82000,"Bridgewater, NJ",2026
SPLUNK INC,Security Engineer,162000,"Philadelphia, PA",2025
NETFLIX INC,Compliance Analyst,343000,"Los Gatos, CA",2024
GOOGLE LLC,Systems Engineer,156000,"Mountain View, CA",2024
GOOGLE LLC,Senior Data Scientist,193000,"Mountain View, CA",2025
DATADOG INC,DevOps Engineer,129000,"Irvine, CA",2026
AIRBNB INC,Technical Program Manager,148000,"San Francisco, CA",2025
SQUARE INC,Technical Program Manager,142000,"San Francisco, CA",2025
WALMART GLOBAL TECH,Systems Engineer,123000,"Bentonville, AR",2026
AMAZON WEB SERVICES INC,Staff Software Engineer,194000,"Seattle, WA",2026
MICROSOFT CORPORATION,Solutions Architect,141000,"Redmond, WA",2025
ORACLE AMERICA INC,Software Engineer,143000,"Austin, TX",2026
SPLUNK INC,Operations Research Analyst,135000,"San Francisco, CA",2024
GOLDMAN SACHS & CO LLC,AI Engineer,179000,"New York, NY",2026
DROPOBOX INC,Applied Scientist,182000,"Nashville, TN",2026
TESLA INC,Data Engineer,150000,"San Jose, CA",2026
DROPOBOX INC,Staff Software Engineer,173000,"San Francisco, CA",2025
DELOITTE CONSULTING LLP,Cloud Engineer,98000,"New York, NY",2024
WORKDAY INC,Site Reliability Engineer,164000,"Pleasanton, CA",2024
DELOITTE CONSULTING LLP,Senior Product Manager,125000,"New York, NY",2024
PALANTIR TECHNOLOGIES,Product Manager,170000,"San Jose, CA",2026
ADOBE INC,Business Intelligence Engineer,175000,"Charlotte, NC",2025
PINTEREST INC,Frontend Engineer,130000,"Jersey City, NJ",2024
DOCUSIGN INC,Security Engineer,124000,"Plano, TX",2025
IBM CORPORATION,Business Intelligence Engineer,100000,"Armonk, NY",2026
MICROSOFT CORPORATION,Senior Product Manager,148000,"Ann Arbor, MI",2025
LINKEDIN CORPORATION,Technical Lead,192000,"Sunnyvale, CA",2026
